Numero,Disciplina,Enunciado,Prop_01,Prop_02,Prop_04,Prop_08,Prop_16,Prop_32,Prop_64,Gabarito
11,PORTUGUÊS,"Com base nos textos 10 e 11 e na leitura integral das obras Úrsula e Torto arado... é correto afirmar que:","no texto 11, as expressões 'parido pela terra' (linha 08) e 'parida pela terra' (linha 10) são usadas em sentido figurado.","no texto 11, identificamos um processo de caracterização de Severo que privilegia aspectos físicos da personagem, em razão do envolvimento amoroso da narradora-personagem com o rapaz.","os textos 10 e 11 evidenciam uma faceta comum em romances românticos: a clássica história de amor entre a mocinha simples e o jovem mancebo...","em 'diferente dos donos dali, que não conheciam muita coisa do que tinham, que talvez não soubessem cavoucar a terra' (linhas 05-06), os termos sublinhados podem ser substituídos por 'os quais' sem prejuízo ao sentido do texto.","se depreende dos textos o tratamento da temática da privação da liberdade em diferentes acepções: no texto 10, resultante do modelo escravagista; no texto 11, do modelo capitalista.",,,21
12,PORTUGUÊS,"Com base nos textos 1 a 11 e no que diz respeito ao gênero e à esfera... é correto afirmar que:","os textos 5 e 6 são NOTÍCIAS porque circulam na esfera JORNALÍSTICA, tal como editorial, artigo de opinião, coluna assinada, reportagem.","os textos 2 e 9 são conhecidos como TIRAS ou TIRINHAS, que circulam na esfera JORNALÍSTICA...","o texto 7 é uma CHARGE, que circula na esfera JORNALÍSTICA, geralmente para expressar de forma irônica o posicionamento editorial do veículo acerca de situações do cotidiano.","o texto 8 faz parte de um ROTEIRO, gênero exclusivo da esfera CINEMATOGRÁFICA...","os textos 1, 3 e 4 são (partes de) CRÔNICAS, que circularam na esfera JORNALÍSTICA e passaram a ser considerados CONTOS ao circularem na esfera LITERÁRIA/ARTÍSTICA.","os textos 10 e 11 fazem parte de ROMANCES, caracterizados por uma escrita narrativa composta por enredos, que circulam na esfera LITERÁRIA/ARTÍSTICA...",,38
13,INGLÊS,"According to text 1, it is correct to say that:","the text brings information on the number of people who watched a movie.","the movie has not been reviewed yet.","more than two thousand people evaluated the movie.","the text displays information about the movie genre.","the movie studio that produced the film appears in the text.",,,12
14,INGLÊS,"In text 2, we can find information about:","the movie soundtrack.","the movie plot.","the entire movie cast.","how much the producers spent to make the movie.","how the audience evaluates the movie.","the movie length.",,34
15,INGLÊS,"Select the proposition(s) that contains (contain) appropriate translations for the underlined words and expressions as they are used in text 2.","characters: características","fate: fato","flee: fogem, escapam","release date: data de lançamento","rating: classificação",,,28
16,INGLÊS,"Select the correct proposition(s) according to text 3.","The Bucket List premiered in 2007.","The main characters of the movie have different occupations.","The Bucket List is a horror movie.","Edward Cole has been divorced two times.","Carter Chambers is a History teacher.",,,03
17,INGLÊS,"Select the correct proposition(s) according to text 3.","The writer of the review thinks that the topic of the movie is not creative.","The writer thinks the movie was too sad and serious.","Before seeing the movie, the writer thought the movie would be very good.","Carter and Edward have been friends since childhood.","In the movie, Carter and Edward travel around the world.",,,17
18,INGLÊS,"Select the proposition(s) which contains (contain) a correct definition or synonym for the words or expressions in bold as they are used in text 3.","reflect: think","tenderness: insensitivity","cheesy: taste of cheese","tosses: throws","cultured: educated","tormenting: torturing",,57
19,INGLÊS,"Select the correct proposition(s) according to text 4.","'Don't bring me no rocking chair' shows use of nonstandard English grammar.","'Cause tired don't mean lazy' presents an abbreviation.","'But ain't I lucky I can still breathe in' shows use of nonstandard English grammar.","'I will only ask one favor' presents a verb in the past tense.","'Don't pity me!' shows use of nonstandard English grammar.","'I'm the same person I was back then' presents a verb in the passive voice.",,07
20,INGLÊS,"According to text 5, it is correct to say that:","the first paragraph brings information about the book content and the author.","the review shows the name of the book publisher.","the third paragraph explains how the book has been translated.","it provides information about how to buy the book.","the book review focuses on the book characters.","the second paragraph explains how the writer's professional experience inspired the book.",,33
21,MATEMÁTICA,"Determine a soma dos números associados à(s) proposição(ões) correta(s):","Em uma pequena fábrica de bolas, 4 máquinas juntas produzem 1.000 bolas em 15 dias... Se a fábrica adquirir mais 2 máquinas... serão necessários 18 dias...","Em uma loja de departamento trabalham 280 funcionários... Se 60% do total de funcionários são casados, então o número de homens não casados é 14.","Se x, y pertencem a R são tais que y != 0, então sqrt(x/y) = sqrt(x)/sqrt(y).","Se x = y^z, y = (1/2)^-3 + (32)^(3/5) e z = ..., então x = +/- 4","Se z1 = 1+3i e z2 = 2-i então z1/z2 = -1/5 + 7/5i.","Em R, o conjunto solução da inequação 3/(x+1) >= 5/(x-2) é (-inf, -11/2].",,19
22,MATEMÁTICA,"Determine a soma dos números associados à(s) proposição(ões) correta(s):","Se a função f(x)=ax+b satisfaz f(4)=6 e f(-2)=3, então a taxa de variação da função é 2.","Se k < 1 então a função quadrática f(x)=(k-1)x^2+(2k+1)x+k é negativa para todo x real.","Se x,y pertencem a R são tais que log x - log y = log 3 e 9^(x-2y) = 27, então x+y é múltiplo de 6.","Se a função f(x)=|x+a|+b tem gráfico dado na figura, então (a+b)/2 é um número irracional.","Se f, g e h são funções reais tais que f(x)=2x+7, h(x)=2x^2+2x-1 e h(x)=(f o g)(x), então g(2) é um número primo.","Se f: R -> R+* é definida por f(x)=3^x + 2, então f é bijetora e f^-1(11)=2.",,20
23,MATEMÁTICA,"Entre todos os campos retangulares possíveis posicionados como na figura, há um que tem área máxima. Determine a área desse retângulo, em m².",QUESTÃO ABERTA (NUMÉRICA),QUESTÃO ABERTA (NUMÉRICA),QUESTÃO ABERTA (NUMÉRICA),QUESTÃO ABERTA (NUMÉRICA),QUESTÃO ABERTA (NUMÉRICA),QUESTÃO ABERTA (NUMÉRICA),,24
24,MATEMÁTICA,"Determine a soma dos números associados à(s) proposição(ões) correta(s):","Se A e B são matrizes quadradas de mesma ordem, então det(A.B) = det(B.A).","Existe k real tal que o sistema linear {x-2y+z=1; y-z=2; x+2ky+z=3} é indeterminado.","Se A é uma matriz triangular superior, então A não é triangular inferior.","Existe apenas um x real tal que as matrizes A e B satisfazem A=B (matrizes dadas no pdf).","A matriz A=[sen(t) -cos(t) 0; -cos(t) sen(t) 0; 2 3 4] é inversível para qualquer teta real.","Se A é a matriz dada, então a inversa de A e a transposta de A são iguais.",,41
25,MATEMÁTICA,"Determine a soma dos números associados à(s) proposição(ões) correta(s):","Considere a sequência cujo termo geral é dado por an = n^2 - 2n + 3. O número 627 pertence à sequência dada.","Se em uma PA a soma do 4º termo com o 37º termo é 81, então a soma dos 40 primeiros termos dessa progressão é 1.620.","Se (x, y, 10) é PA e (1/x, 1/y, 1/(x+10)) é PG, então x é o dobro de y.","Considerando os algarismos 0 a 9, podemos formar 3.742 números de quatro algarismos maiores que 6.257.","Em N, o conjunto solução da equação [(n+2)! - (n+1)!] / [n!(n-1)!] = 49 é unitário.","Um casal pretende ter três filhos. Se a primeira criança que nasceu foi uma menina, então a probabilidade de o casal ter apenas um menino é no máximo 1/2.",,59
26,MATEMÁTICA,"Determine a soma dos números associados à(s) proposição(ões) correta(s):","A equação cos x = 1 admite quatro soluções no intervalo [0, 4pi].","A equação sen(2x) = sen x admite três soluções no intervalo [0, pi].","Se x pertence a (0, pi), então cos x > 0.","A função f(x) = cos(x^3) é uma função ímpar.","cos(3 graus) = sen(87 graus).",,,18
27,MATEMÁTICA,"Determine a soma dos números associados à(s) proposição(ões) correta(s):","Se A e C são funções... A(r) área do círculo e C(r) comprimento... então A - C é um polinômio com duas raízes positivas distintas.","O polinômio p(x) = x^4 - 16 é divisível pelo polinômio q(x) = x^2 + 4.","Se p(x) e q(x) são polinômios de grau 6, então p(x) + q(x) é um polinômio de grau pelo menos 6.","A soma de todas as raízes reais da equação 4^(2x) - 10*4^x = -16 é igual a 2.","A função f(x) = x^3 + 1 é inversa da função g(x) = raiz_cubica(x - 1).",,,26
28,MATEMÁTICA,"Determine a soma dos números associados à(s) proposição(ões) correta(s):","A distância focal da hipérbole dada pela equação (x+6)^2/25 - (y-1)^2/144 = 1 é igual a 26.","O gráfico mostra a produção de suínos em SC... Santa Catarina bateu recorde de exportação...","Se um cone circular reto e um cilindro circular reto ambos têm raio sqrt(2) e altura 6/pi, então a diferença de volumes é igual ao volume de um cubo com aresta 2.","A parábola x = y^2 - 1 intercepta a hipérbole x^2 - y^2 = 1 em exatamente três pontos distintos.","Se três números reais positivos distintos estão em PA, então eles são comprimentos dos lados de algum triângulo.",,,13
29,MATEMÁTICA,"Determine a soma dos números associados à(s) proposição(ões) correta(s):","Se um cubo tem volume 27 cm³, então o raio da esfera circunscrita a ele mede (3*sqrt(3))/2 cm.","Se os pontos P(1,2), Q(2,3) e R(a,b) são colineares, então b - a = 1.","Se cada aresta de um tetraedro regular mede 2 cm, então a área de sua superfície é 4*sqrt(3) cm².","A reta r: sqrt(3)x + y = 2 é tangente à circunferência x^2 + y^2 = 1.","As retas r: 4x + 5y = 1 e s: (1/4)x - 5y = 6 são perpendiculares.","As retas r: -3x + 2y = 1 e s: -6y + 9x = -3 se interceptam no primeiro quadrante.",,47
30,MATEMÁTICA,"Determine a soma dos números associados à(s) proposição(ões) correta(s) (Sobre a figura dos círculos tangentes):","A área da região pintada S é maior que a da região pintada T.","A área da região obtida ao removermos a região pintada R do triângulo ABC é igual a (pi/2)(2 + sqrt(2)).","O raio do círculo com centro em B é igual a 1.","A área do trapézio ACDE é igual a (5 + 4*sqrt(2))/2.","A área do triângulo ABC é igual a (2 + sqrt(2))^2 / 2.",,,30
31,BIOLOGIA,"Sobre os dados apresentados e assuntos relacionados, como ciclo da matéria e pirâmides ecológicas, é correto afirmar que:","a relação ecológica entre fitoplâncton e zooplâncton é amensalismo, caracterizada por ser harmônica e interespecífica.","a pirâmide de biomassa corresponde ao último trimestre do ano analisado.","condições ambientais como mudanças na temperatura, na intensidade luminosa e nos nutrientes ao longo das estações do ano não influenciam na biomassa de fitoplâncton e zooplâncton.","geralmente a biomassa diminui ao longo de uma cadeia alimentar devido à perda de matéria entre os níveis tróficos.","pirâmides de energia indicam a produtividade do ecossistema, por isso nunca ficam invertidas.","em um dado momento, a biomassa de zooplâncton pode ser maior que a de fitoplâncton, cuja velocidade de reprodução permite uma rápida renovação.",,56
32,BIOLOGIA,"A partir do cruzamento-teste acima (pepinos) e das frequências dos gametas dos indivíduos parentais desse cruzamento, é correto afirmar que:","os genes que condicionam textura e brilho no pepino estão no mesmo cromossomo.","entre os descendentes, espera-se que haja mais frutas lisas e brilhosas do que lisas e foscas.","no parental com fruta rugosa e fosca, os genes estão na posição trans, possibilitando a recombinação.","as frequências dos gametas estão de acordo com a Segunda Lei de Mendel.","a distância de mapa gênico entre genes A e B é de oito centimorgans.","se espera um percentual de 42% dos descendentes com frutas lisas e brilhosas.",,35
33,BIOLOGIA,"Identifique as proposições que foram reescritas corretamente pelos alunos (sobre Reino Animalia):","Proposição II: os crustáceos são animais que vivem exclusivamente em ambientes aquáticos marinhos.","Proposição I: a característica mais importante usada para separar os animais em filos distintos é o seu tipo de reprodução.","Proposição I: a característica mais importante usada para separar os animais em filos distintos é a sua alimentação.","Proposição VI: os equinodermos, os poríferos e os cnidários são animais deuterostômios; já os nematódeos, os moluscos e os artrópodes são protostômios.","Proposição IV: no cavalo-marinho e no peixe-boi, por serem mamíferos, encontram-se quatro cavidades cardíacas (dois átrios e dois ventrículos).","Proposição V: bivalves, poliquetas e cracas retiram da água partículas alimentares em suspensão, porém os bivalves são moluscos, os poliquetas são anelídeos e as cracas são crustáceos.","Proposição III: o plâncton marinho é constituído por seres que se deslocam passivamente na água, arrastados pelas ondas e correntes marinhas.",96
34,BIOLOGIA,"Sobre as técnicas utilizadas (PCR, HIV) e assuntos relacionados, é correto afirmar que:","o genoma do HIV é constituído de RNA de fita simples.","a transcrição reversa é um processo em que ocorre a produção do RNA mensageiro.","a eletroforese possibilita também a realização de investigações forenses e de testes de paternidade.","o fragmento revelado na eletroforese da pessoa infectada é constituído de RNA viral do HIV.","a enzima de restrição é utilizada nos processos da transcrição reversa e da PCR.","o fragmento amplificado por PCR migra para o polo positivo na eletroforese.",,37
35,BIOLOGIA,"Sobre os assuntos relacionados à tirinha (proteína p53 e apoptose), é correto afirmar que:","a apoptose é o reparo dos danos presentes no DNA, tornando a célula temporariamente inativa.","a possível consequência da 'desobediência' da célula com o DNA danificado retratada na tirinha é a origem de um câncer.","a falta da função da proteína p53 permite que a célula cancerosa sobreviva e se prolifere mesmo quando seu DNA está danificado.","a proteína p53 pode induzir a apoptose em uma célula com danos irreparáveis, tornando-a uma célula cancerígena.","o mecanismo ilustrado no final da tirinha estabelece uma relação alternativa para promover a integridade dos tecidos.",,,06
36,BIOLOGIA,"Sobre a figura, o transporte por membranas e assuntos relacionados, é correto afirmar que:","o transporte representado é um tipo de transporte ativo.","na situação A, as hemácias ficam murchas e as células vegetais ficam plasmolisadas.","considerando o transporte passivo do soluto, os sentidos seriam o mesmo do esquema.","em contraste às células animais, as células de vegetais, bactérias e fungos possuem paredes celulares que limitam o seu volume e evitam que elas se rompam na situação B.","na situação A, não ocorre o rompimento da membrana plasmática em protozoários por causa do vacúolo pulsátil.",,,10
37,BIOLOGIA,"Sobre a embriologia dos grupos representados (acelomados, pseudocelomados, celomados), é correto afirmar que:","todos os animais representados têm simetria bilateral.","a fase embrionária dos animais representada na imagem é a mórula.","os animais B e C são protostômios e os animais D e E são deuterostômios, pois estes últimos possuem celoma.","nos animais E, o tubo neural, que originará o sistema nervoso, é formado a partir do mesoderma.","os animais pseudocelomados têm órgãos contidos em uma cavidade, porém esta não se apresenta totalmente delineada pelo mesoderma.","os animais A, B e C podem ser, respectivamente, um cnidário, um platelminto e um nematódeo.",,48
38,BIOLOGIA,"Sobre fungos e micoses, é correto afirmar que:","nos basidiomicetos, durante a reprodução sexuada, ocorre em primeiro lugar a cariogamia (a junção dos citoplasmas) e depois a plasmogamia (a junção do material genético).","existem fungos que conseguem capturar pequenos organismos com o auxílio de hifas modificadas.","o mofo nas residências é principalmente causado por fungos representantes do grupo dos zigomicetos.","alguns fungos evoluíram em conjunto com algas ou cianobactérias, desenvolvendo uma relação mutualística que beneficia ambas as espécies, o que forma os líquens.","nas hifas, a passagem livre de citoplasma e de organelas entre células acontece somente nos fungos com hifas septadas, já que estas não apresentam divisões entre as células.",,,14
39,BIOLOGIA,"Sobre as doenças e seus transmissores, é correto afirmar que:","a doença conhecida popularmente como elefantíase é transmitida pela picada do mosquito do gênero Aedes e é causada por um protozoário...","por ser transmitida pela urina de ratos contaminados, a leptospirose, uma doença causada por vírus, pode ter surtos em regiões sem saneamento básico adequado...","a raiva é uma doença que afeta o nosso sistema nervoso central e é transmitida pela mordida, principalmente, de cães e gatos, já que a bactéria fica alojada na saliva desses animais.","a febre maculosa é causada por uma bactéria transmitida pela picada do carrapato-estrela; por isso, é preciso usar roupas fechadas e repelente...","no processo evolutivo interespecífico entre parasita e hospedeiro não ocorre a seleção natural...","as solitárias são endoparasitas do sistema digestório humano... a contaminação pode ocorrer pelo consumo de carne de animais contaminada com o cisticerco do nematódeo.",,08
40,BIOLOGIA,"Após a pesquisa (sobre origem dos tecidos das plantas), é correto afirmar que:","o esquema A está incorreto, pois o xilema secundário não se origina do xilema primário; sua origem deriva do câmbio fascicular e do interfascicular.","o câmbio interfascicular não se origina no câmbio fascicular e sim nos tecidos do parênquima, conforme indicado no esquema B.","o floema secundário se origina do floema primário, conforme indicado no esquema A.","o súber tem origem nos tecidos do felogênio, conforme indicado no esquema B.","o esquema B está incorreto, pois o colênquima e o esclerênquima são tecidos derivados do parênquima.",,,11
